Instance;chuffed_K_Found;chuffed_Min_Cost;chuffed_SAT;chuffed_Time_Seconds;chuffed_Time_MIN_Sec;gecode_K_Found;gecode_Min_Cost;gecode_SAT;gecode_Time_Seconds;gecode_Time_MIN_Sec;HiGHs_K_Found;HiGHs_Min_Cost;HiGHs_SAT;HiGHs_Time_Seconds;HiGHs_Time_MIN_Sec;ortools_K_Found;ortools_Min_Cost;ortools_SAT;ortools_Time_Seconds;ortools_Time_MIN_Sec
i63;7;62;OPTIMAL;2,61;1,03;7;62;OPTIMAL;150,31;148,7;7;85;SAT_MIN;301,85;300,19;7;62;OPTIMAL;26,74;25,17
i64;8;60;OPTIMAL;6,3;4,01;8;60;SAT_MIN;302,35;300,12;8;;ERROR_MIN;302,45;300,22;8;60;OPTIMAL;161,5;159,34
i65;5;42;OPTIMAL;1,2;0,29;5;42;OPTIMAL;1,55;0,57;5;42;OPTIMAL;71,72;70,8;5;42;OPTIMAL;3,19;2,29
i66;6;65;OPTIMAL;1,58;0,39;6;65;OPTIMAL;9,37;8,13;6;66;SAT_MIN;301,35;300,18;6;65;OPTIMAL;6,91;5,74
i67;8;58;OPTIMAL;4,99;3,01;8;58;SAT_MIN;302,22;300,12;8;68;SAT_MIN;302,14;300,23;8;58;OPTIMAL;129,82;127,87
i68;9;60;OPTIMAL;5,64;3,26;9;;ERROR_MIN;302,64;300,13;9;;ERROR_MIN;302,7;300,24;9;;ERROR_MIN;302,59;300,15
i69;6;45;OPTIMAL;1,58;0,42;6;45;OPTIMAL;30,71;29,51;6;45;SAT_MIN;301,36;300,22;6;45;OPTIMAL;6,07;4,91
i70;4;33;OPTIMAL;0,92;0,2;4;33;OPTIMAL;1,03;0,25;4;33;OPTIMAL;11,39;10,65;4;33;OPTIMAL;1,14;0,38
i71;7;57;OPTIMAL;2,65;1,15;7;57;OPTIMAL;214,71;213,1;7;73;SAT_MIN;301,7;300,21;7;57;OPTIMAL;45,84;44,36
i72;8;64;OPTIMAL;4,65;2,67;8;79;SAT_MIN;302,25;300,12;8;94;SAT_MIN;302,17;300,19;8;64;OPTIMAL;132,27;130,32
i73;6;46;OPTIMAL;1,71;0,5;6;46;OPTIMAL;52,97;51,71;6;46;SAT_MIN;301,48;300,25;6;46;OPTIMAL;10,86;9,68
i74;6;50;OPTIMAL;1,41;0,28;6;50;OPTIMAL;3,61;2,41;6;50;OPTIMAL;85,6;84,45;6;50;OPTIMAL;2,49;1,36
i75;4;47;OPTIMAL;0,92;0,21;4;47;OPTIMAL;1,06;0,26;4;47;OPTIMAL;7,95;7,24;4;47;OPTIMAL;1,08;0,38
i76;4;52;OPTIMAL;0,91;0,2;4;52;OPTIMAL;1,1;0,31;4;52;OPTIMAL;13,16;12,45;4;52;OPTIMAL;1,11;0,39
i77;8;69;OPTIMAL;5,88;3,57;8;69;SAT_MIN;302,56;300,13;8;88;SAT_MIN;302,52;300,24;8;69;OPTIMAL;143,01;140,7
i78;7;80;OPTIMAL;1,88;0,49;7;80;OPTIMAL;34,19;32,73;7;81;SAT_MIN;301,63;300,21;7;80;OPTIMAL;8,35;6,87
i79;6;38;OPTIMAL;1,48;0,33;6;38;OPTIMAL;13,91;12,69;6;38;OPTIMAL;188,81;187,65;6;38;OPTIMAL;3,4;2,27
i80;5;49;OPTIMAL;1,25;0,29;5;49;OPTIMAL;3,09;2,0;5;49;OPTIMAL;166,97;166,04;5;49;OPTIMAL;4,17;3,21
i81;5;50;OPTIMAL;1,27;0,28;5;50;OPTIMAL;3,82;2,81;5;50;OPTIMAL;211,58;210,59;5;50;OPTIMAL;3,25;2,24
i82;10;81;OPTIMAL;91,13;83,44;10;;ERROR_MIN;308,02;300,13;10;;ERROR_MIN;307,7;300,29;10;;ERROR_MIN;307,7;300,2
i83;7;60;OPTIMAL;2,82;1,26;7;60;OPTIMAL;55,38;53,73;7;60;SAT_MIN;301,77;300,22;7;60;OPTIMAL;38,23;36,65
i84;8;81;OPTIMAL;4,91;3,05;8;;ERROR_MIN;302,09;300,13;8;;ERROR_MIN;302,17;300,28;8;;ERROR_MIN;301,97;300,2
i85;4;54;OPTIMAL;0,97;0,21;4;54;OPTIMAL;1,0;0,24;4;54;OPTIMAL;14,79;14,03;4;54;OPTIMAL;1,39;0,61
i86;7;64;OPTIMAL;3,06;1,49;7;66;SAT_MIN;301,71;300,11;7;72;SAT_MIN;301,73;300,24;7;64;OPTIMAL;75,33;73,82
i87;6;52;OPTIMAL;1,64;0,44;6;52;OPTIMAL;29,53;28,23;6;52;SAT_MIN;301,48;300,23;6;52;OPTIMAL;6,21;4,91
i88;9;91;OPTIMAL;25,36;22,19;9;;ERROR_MIN;303,38;300,13;9;;ERROR_MIN;303,28;300,27;9;;ERROR_MIN;303,47;300,19
i89;10;95;OPTIMAL;33,46;27,06;10;;ERROR_MIN;306,27;300,13;10;;ERROR_MIN;306,06;300,31;10;;ERROR_MIN;305,92;300,15
i90;5;49;OPTIMAL;1,32;0,3;5;49;OPTIMAL;1,86;0,81;5;49;OPTIMAL;107,82;106,87;5;49;OPTIMAL;3,95;3,06
i91;8;90;OPTIMAL;9,43;7,17;8;;ERROR_MIN;302,56;300,11;8;106;SAT_MIN;302,49;300,29;8;;ERROR_MIN;302,38;300,17
i92;8;57;OPTIMAL;4,65;2,63;8;80;SAT_MIN;302,25;300,16;8;;ERROR_MIN;302,23;300,24;8;57;OPTIMAL;142,26;140,29
i93;10;96;OPTIMAL;56,41;49,06;10;;ERROR_MIN;307,17;300,12;10;;ERROR_MIN;306,77;300,28;10;;ERROR_MIN;306,81;300,2
i94;9;84;OPTIMAL;9,08;5,9;9;;ERROR_MIN;303,51;300,13;9;;ERROR_MIN;303,34;300,26;9;;ERROR_MIN;303,2;300,14
i95;5;58;OPTIMAL;1,32;0,31;5;58;OPTIMAL;7,53;6,47;5;58;OPTIMAL;217,76;216,8;5;58;OPTIMAL;4,51;3,56
i96;6;52;OPTIMAL;1,73;0,46;6;52;OPTIMAL;27,06;25,76;6;52;OPTIMAL;273,38;272,19;6;52;OPTIMAL;3,43;2,22
i97;7;71;OPTIMAL;2,83;1,29;7;71;SAT_MIN;301,69;300,11;7;81;SAT_MIN;301,68;300,25;7;71;OPTIMAL;73,75;72,23
i98;7;53;OPTIMAL;2,18;0,61;7;53;OPTIMAL;35,41;33,72;7;58;SAT_MIN;301,82;300,27;7;53;OPTIMAL;25,07;23,53
i99;7;63;OPTIMAL;2,83;1,29;7;63;SAT_MIN;301,76;300,13;7;81;SAT_MIN;301,83;300,27;7;63;OPTIMAL;54,52;53,04
